"id","timestamp","data.location.type","data.location.coordinates.0","data.location.coordinates.1","data.accel.maxZ","data.accel.maxX","data.accel.maxY","data.accel.minX","data.accel.minY","data.accel.minZ","data.rpm","data.vehicleSpeed","data.calculatedLoadValue","data.intakeManifoldPressure","data.massAirFlow","data.catalystTemp1a","links.self","data.numberOfWarmupsSinceDTCsCleared","data.distanceSinceDTCsCleared","data.evapSystemVaporPressure1","data.barometricPressure","data.commandedEvaporativePurge","data.fuelLevelInput","data.designOBDRequirements","data.runTimeSinceEngineStart","data.distanceTraveledMILActivated","data.fuelRailPressure","data.oxygenSensorLocations.0","data.oxygenSensorLocations.1","data.oxygenSensorLocations.2","data.oxygenSensorLocations.3","data.oxygenSensorVoltage1a","data.shortTermFuelTrim1a","data.oxygenSensorVoltage1b","data.shortTermFuelTrim1b","data.oxygenSensorVoltage2a","data.shortTermFuelTrim2a","data.oxygenSensorVoltage2b","data.shortTermFuelTrim2b","data.intakeAirTemperature","data.absoluteThrottleSensorPosition","data.coolantTemp","data.shortTermFuelTrimBank1","data.longTermFuelTrimBank1","data.shortTermFuelTrimBank2","data.longTermFuelTrimBank2","data.fuelPressure","data.timingAdvance","data.fuelSystemStatus.Fuel System 1 Status","data.fuelSystemStatus.Fuel System 2 Status","data.fuelType","data.ambientAirTemperature","data.absoluteThrottlePositionb","data.acceleratorPedalPositiond","data.acceleratorPedalPositione","data.commandedThrottleActuatorControl","data.fuelAirCommandedEquivalenceRatio","data.relativeThrottlePosition","data.controlModuleVoltage","data.absoluteLoadValue","data.catalystTemp2a"
"4a4a370e-be98-4a0a-9d6d-5ef0294e91e2","2017-11-22T03:52:24.866Z","Point",-96.788654,32.774341,9.232089,1.493989,-4.405354,-0.842763,-6.052573,6.857029,2099,100,100,99,60.4,914,"https://telemetry.vin.li/api/v1/messages/4a4a370e-be98-4a0a-9d6d-5ef0294e91e2?deviceId=e2e3bdf7-e083-4899-9af1-73df8daad210",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"227b047c-49c4-4971-819e-c4268af9b62e","2017-11-22T03:52:21.856Z","Point",-96.789507,32.774258,9.155474,0.15323,-2.949671,-1.493989,-7.010258,6.435647,2680.75,92,100,98,61.94,,"https://telemetry.vin.li/api/v1/messages/227b047c-49c4-4971-819e-c4268af9b62e?deviceId=e2e3bdf7-e083-4899-9af1-73df8daad210",204,11494,17.75,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1c09c38d-2695-4175-ab6a-991bf34971a6","2017-11-22T03:52:18.805Z","Point",-96.79028,32.774184,9.500241,0.919378,-3.332746,-1.34076,-7.201795,6.550569,1655,78,100,87,47.34,,"https://telemetry.vin.li/api/v1/messages/1c09c38d-2695-4175-ab6a-991bf34971a6?deviceId=e2e3bdf7-e083-4899-9af1-73df8daad210",,,,,13.72549019607843,71.37254901960785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"fbe7def2-afd9-4e18-8410-73a3ef89b3b0","2017-11-22T03:52:15.782Z","Point",-96.79095,32.774144,9.423626,0.076615,-4.711813,-1.493989,-6.282417,7.12518,1201.5,73,100,99,36.55,,"https://telemetry.vin.li/api/v1/messages/fbe7def2-afd9-4e18-8410-73a3ef89b3b0?deviceId=e2e3bdf7-e083-4899-9af1-73df8daad210",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"0cf011e6-0141-49a8-ad52-fc20c2170d9d","2017-11-22T03:52:12.778Z","Point",-96.791604,32.774067,9.461933,0.459689,-3.371053,-3.409361,-7.929636,7.201795,1167.75,72,100,99,36.68,,"https://telemetry.vin.li/api/v1/messages/0cf011e6-0141-49a8-ad52-fc20c2170d9d?deviceId=e2e3bdf7-e083-4899-9af1-73df8daad210",,,,,,,"JOBD and OBD II",301,0,8550,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"93a330dc-9062-489f-a80e-5451dc925ee7","2017-11-22T03:52:09.710Z","Point",-96.792131,32.774062,10.917615,0.15323,-2.911364,-1.455682,-5.784421,7.316718,1168.25,73,15.686274509803921,26,5.11,,"https://telemetry.vin.li/api/v1/messages/93a330dc-9062-489f-a80e-5451dc925ee7?deviceId=e2e3bdf7-e083-4899-9af1-73df8daad210",,,,,,,,,,,"Bank 1 Sensor 1","Bank 1 Sensor 2","Bank 2 Sensor 1","Bank 2 Sensor 2",0,14.84375,0.57,99.21875,0.9,0,0.75,99.21875,,,,,,,,,,,,,,,,,,,,,,
"80b94e52-cdb4-41e1-bf5f-93b8202c2ce2","2017-11-22T03:52:04.958Z","Point",-96.793266,32.773928,,,,,,,1336.25,,,,,,"https://telemetry.vin.li/api/v1/messages/80b94e52-cdb4-41e1-bf5f-93b8202c2ce2?deviceId=e2e3bdf7-e083-4899-9af1-73df8daad210",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"55df7ff9-00af-4a01-9e46-ea67ddce8a16","2017-11-22T03:52:01.861Z","Point",-96.794126,32.77377,9.461933,0.881071,-3.102901,-1.225837,-6.703799,7.27841,1406,78,29.80392156862745,62,15.69,,"https://telemetry.vin.li/api/v1/messages/55df7ff9-00af-4a01-9e46-ea67ddce8a16?deviceId=e2e3bdf7-e083-4899-9af1-73df8daad210",,,,,,,,,,,,,,,,,,,,,,,15,34.90196078431372,,,,,,,,,,,,,,,,,,,,
"4cc8e600-8bad-456d-8e01-62778bfc7e0f","2017-11-22T03:51:57.868Z","Point",-96.794782,32.773597,9.921622,0.689534,-3.792435,-1.072608,-6.435647,7.393332,1446.5,72,100,99,42.97,,"https://telemetry.vin.li/api/v1/messages/4cc8e600-8bad-456d-8e01-62778bfc7e0f?deviceId=e2e3bdf7-e083-4899-9af1-73df8daad210",,,,,,,,,,,,,,,,,,,,,,,,,90,14.84375,-3.125,-3.90625,0,378,4,,,,,,,,,,,,,
"a9b35ce1-c523-4732-8ad4-d46a420f7af2","2017-11-22T03:51:54.840Z","Point",-96.795431,32.77349,8.810707,0.306459,-4.558583,-0.15323,-5.094887,8.695785,1148.25,70,32.15686274509804,46,42.66,,"https://telemetry.vin.li/api/v1/messages/a9b35ce1-c523-4732-8ad4-d46a420f7af2?deviceId=e2e3bdf7-e083-4899-9af1-73df8daad210",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Open loop due to engine load or fuel cut due to deceleration","Open loop due to engine load or fuel cut due to deceleration",,,,,,,,,,,
"8cb73fe9-6a49-46f7-841f-a99bed67234b","2017-11-22T03:51:49.495Z","Point",-96.796343,32.773274,10.343004,0.842763,-2.22183,-1.608912,-6.550569,7.58487,1501.5,69,15.294117647058824,99,5.01,,"https://telemetry.vin.li/api/v1/messages/8cb73fe9-6a49-46f7-841f-a99bed67234b?deviceId=e2e3bdf7-e083-4899-9af1-73df8daad210",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"e7f31f96-ab77-452b-839c-8095ec8aa219","2017-11-22T03:51:46.489Z","Point",-96.797018,32.773213,9.040552,-0.268152,-2.451675,-1.608912,-6.014265,6.895336,1370,77,59.21568627450981,85,26.62,,"https://telemetry.vin.li/api/v1/messages/e7f31f96-ab77-452b-839c-8095ec8aa219?deviceId=e2e3bdf7-e083-4899-9af1-73df8daad210",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"5bdab9ff-5ba7-412c-92d7-c5e522a01b0b","2017-11-22T03:51:41.905Z","Point",-96.798117,32.772744,9.002244,-0.727841,-5.05658,-0.727841,-5.746113,8.427633,1660.75,78,100,99,47.88,,"https://telemetry.vin.li/api/v1/messages/5bdab9ff-5ba7-412c-92d7-c5e522a01b0b?deviceId=e2e3bdf7-e083-4899-9af1-73df8daad210",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"429a8691-e29b-4d37-9a7d-518c1d928f11","2017-11-22T03:51:38.449Z","Point",-96.798815,32.77244,9.040552,-0.383074,-4.022279,-1.570604,-5.975958,8.159481,1641.25,76,100,99,46.45,,"https://telemetry.vin.li/api/v1/messages/429a8691-e29b-4d37-9a7d-518c1d928f11?deviceId=e2e3bdf7-e083-4899-9af1-73df8daad210",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Gasoline",,,,,,,,,,
"3270a232-a817-4d2a-b85b-3216df6f2dbe","2017-11-22T03:51:35.436Z","Point",-96.799356,32.772028,9.423626,0.727841,-4.060587,-1.072608,-6.627184,6.742106,1247.25,74,20.784313725490197,98,38.84,,"https://telemetry.vin.li/api/v1/messages/3270a232-a817-4d2a-b85b-3216df6f2dbe?deviceId=e2e3bdf7-e083-4899-9af1-73df8daad210",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,64.31372549019608,19.215686274509803,9.803921568627452,49.411764705882355,,,,,
"ac30e3fc-bf44-4901-9ab4-cff2a8271f90","2017-11-22T03:51:32.429Z","Point",-96.799872,32.771615,8.197788,-0.076615,-4.788428,-0.076615,-4.788428,8.197788,1167.25,,,,,,"https://telemetry.vin.li/api/v1/messages/ac30e3fc-bf44-4901-9ab4-cff2a8271f90?deviceId=e2e3bdf7-e083-4899-9af1-73df8daad210",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"42ae8942-8001-4ece-94a7-5a4eef5f0fe7","2017-11-22T03:51:29.344Z","Point",-96.800341,32.771191,8.925629,0.15323,-4.060587,-0.689534,-6.703799,7.163488,1141.25,70,100,99,34.81,,"https://telemetry.vin.li/api/v1/messages/42ae8942-8001-4ece-94a7-5a4eef5f0fe7?deviceId=e2e3bdf7-e083-4899-9af1-73df8daad210",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,47.05882352941177,,,
"07834a14-1d0f-46fe-8036-fbbbbdd66181","2017-11-22T03:51:26.334Z","Point",-96.800769,32.770941,10.113159,0.114922,-0.957686,-2.336753,-5.363039,8.159481,1100.25,69,16.07843137254902,27,4.94,,"https://telemetry.vin.li/api/v1/messages/07834a14-1d0f-46fe-8036-fbbbbdd66181?deviceId=e2e3bdf7-e083-4899-9af1-73df8daad210",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.726,12.549019607843137,
"c019a2c7-139c-402b-896a-ae1c02660589","2017-11-22T03:51:23.324Z",,,,9.385318,0.497996,-2.643212,-1.149223,-6.397339,7.43164,1288.25,80,15.686274509803921,27,5.66,855,"https://telemetry.vin.li/api/v1/messages/c019a2c7-139c-402b-896a-ae1c02660589?deviceId=e2e3bdf7-e083-4899-9af1-73df8daad210",,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,854
"9921c4ba-80b6-43c2-b376-9d49576efe0d","2017-11-22T03:51:20.284Z","Point",-96.801777,32.770088,9.347011,0.804456,-3.409361,-1.877064,-5.554576,6.971951,1262.75,79,16.07843137254902,25,5.67,,"https://telemetry.vin.li/api/v1/messages/9921c4ba-80b6-43c2-b376-9d49576efe0d?deviceId=e2e3bdf7-e083-4899-9af1-73df8daad210",,11492,11.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"e1e41653-0711-44b0-be6f-f043adadba34","2017-11-22T03:51:14.929Z","Point",-96.802873,32.769227,9.768393,1.0343,-0.229845,-2.183523,-6.857029,6.282417,1302.5,81,16.07843137254902,25,5.85,,"https://telemetry.vin.li/api/v1/messages/e1e41653-0711-44b0-be6f-f043adadba34?deviceId=e2e3bdf7-e083-4899-9af1-73df8daad210",204,,,,6.2745098039215685,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"33e560d0-655c-4fd9-9fb0-c8ccd83acf81","2017-11-22T03:51:11.822Z","Point",-96.803371,32.768827,10.074852,2.52829,-0.957686,-1.417375,-6.09088,6.512262,1300.25,78,11.764705882352942,32,2.72,,"https://telemetry.vin.li/api/v1/messages/33e560d0-655c-4fd9-9fb0-c8ccd83acf81?deviceId=e2e3bdf7-e083-4899-9af1-73df8daad210",,,,,,,,,0,5340,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"f6511b7f-6941-432a-9d39-0ce35bd7b857","2017-11-22T03:51:08.760Z","Point",-96.804114,32.768593,8.695785,1.302452,-4.405354,-0.383074,-6.167495,7.355025,1313,72,14.509803921568627,29,6.96,,"https://telemetry.vin.li/api/v1/messages/f6511b7f-6941-432a-9d39-0ce35bd7b857?deviceId=e2e3bdf7-e083-4899-9af1-73df8daad210",,,,,,,,237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ebf9cf16-38e1-473c-8ed7-3c0b3da3fb5f","2017-11-22T03:51:05.524Z","Point",-96.804874,32.768597,9.615163,1.685527,-3.217823,-2.030293,-7.853021,5.746113,2331.5,63,98.82352941176471,99,51.5,,"https://telemetry.vin.li/api/v1/messages/ebf9cf16-38e1-473c-8ed7-3c0b3da3fb5f?deviceId=e2e3bdf7-e083-4899-9af1-73df8daad210",,,,,,,"JOBD and OBD II",,,,,,,,,,,,0.075,0.78125,0.7,99.21875,,,,,,,,,,,,,,,,,,,,,,
"895c8c42-c56c-4ac5-b591-d1ec63565640","2017-11-22T03:51:00.857Z",,,,9.040552,0.612919,-3.86905,-0.574611,-7.43164,7.086873,1592,54,100,99,46.81,,"https://telemetry.vin.li/api/v1/messages/895c8c42-c56c-4ac5-b591-d1ec63565640?deviceId=e2e3bdf7-e083-4899-9af1-73df8daad210",,,,,,,,,,,"Bank 1 Sensor 1","Bank 1 Sensor 2","Bank 2 Sensor 1","Bank 2 Sensor 2",0.065,1.5625,0.67,99.21875,,,,,,14.509803921568627,,,,,,,,,,,,,,,,,,,,
"340d72b3-eaa1-43b4-89e5-650a3b61cbfc","2017-11-22T03:50:56.946Z",,,,9.423626,0.229845,-3.294438,-0.804456,-5.516269,7.546562,1024.25,50,15.294117647058824,27,4.6,,"https://telemetry.vin.li/api/v1/messages/340d72b3-eaa1-43b4-89e5-650a3b61cbfc?deviceId=e2e3bdf7-e083-4899-9af1-73df8daad210",,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,1,,,,,,,,,,,,,
"f179ccfd-0568-414f-b01f-93a99c05cacd","2017-11-22T03:50:53.263Z",,,,11.338997,3.71582,-2.68152,-3.064594,-8.46594,7.469947,974.5,60,14.901960784313726,27,4.52,,"https://telemetry.vin.li/api/v1/messages/f179ccfd-0568-414f-b01f-93a99c05cacd?deviceId=e2e3bdf7-e083-4899-9af1-73df8daad210",,,,,,,,,,,,,,,,,,,,,,,,,89,0,-3.125,0,-3.90625,420,,"Closed loop, using oxygen sensor feedback to determine fuel mix","Closed loop, using oxygen sensor feedback to determine fuel mix",,,,,,,,,,,
"f90adcfd-68d5-4d0b-bc13-038fbb31548c","2017-11-22T03:50:50.205Z",,,,8.389325,-0.689534,-2.949671,-0.689534,-2.949671,8.389325,2236.25,,20.392156862745097,,,,"https://telemetry.vin.li/api/v1/messages/f90adcfd-68d5-4d0b-bc13-038fbb31548c?deviceId=e2e3bdf7-e083-4899-9af1-73df8daad210",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"f7a7f750-cc34-4d1f-a629-4b8f8f779d18","2017-11-22T03:50:43.581Z",,,,9.117166,-0.15323,-4.481968,-2.451675,-6.703799,7.469947,2236.25,78,100,99,66.89,,"https://telemetry.vin.li/api/v1/messages/f7a7f750-cc34-4d1f-a629-4b8f8f779d18?deviceId=e2e3bdf7-e083-4899-9af1-73df8daad210",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"b4cf282f-33fe-4086-9764-1f6021f73501","2017-11-22T03:50:40.548Z",,,,9.576855,0.651226,-3.179516,-1.532297,-6.129188,7.010258,1393,70,100,99,5.03,,"https://telemetry.vin.li/api/v1/messages/b4cf282f-33fe-4086-9764-1f6021f73501?deviceId=e2e3bdf7-e083-4899-9af1-73df8daad210",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"5fbe34d1-6a4a-4478-a43c-1496715a4471","2017-11-22T03:50:37.466Z",,,,8.236096,1.762141,-5.018272,1.18753,-6.397339,6.627184,1215.25,74,78.82352941176471,99,37.35,,"https://telemetry.vin.li/api/v1/messages/5fbe34d1-6a4a-4478-a43c-1496715a4471?deviceId=e2e3bdf7-e083-4899-9af1-73df8daad210",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"6129f576-fcaf-4292-a70b-b303bd58bcc2","2017-11-22T03:50:33.981Z",,,,9.232089,2.068601,-3.754127,0.268152,-5.133195,7.316718,1204.75,72,99.6078431372549,98,26.91,,"https://telemetry.vin.li/api/v1/messages/6129f576-fcaf-4292-a70b-b303bd58bcc2?deviceId=e2e3bdf7-e083-4899-9af1-73df8daad210",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Gasoline",,,,,9.411764705882353,,,,,
"69eed63b-9f35-4e4d-b54a-2bd1ea184a97","2017-11-22T03:50:30.968Z",,,,10.189774,1.570604,-1.532297,-0.268152,-5.975958,7.661484,1153.75,74,17.647058823529413,28,5.92,,"https://telemetry.vin.li/api/v1/messages/69eed63b-9f35-4e4d-b54a-2bd1ea184a97?deviceId=e2e3bdf7-e083-4899-9af1-73df8daad210",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.215686274509803,9.803921568627452,,,,,,
"623c2570-c9c7-4d8b-8ce1-2ef3dad39a9d","2017-11-22T03:50:27.932Z",,,,12.449912,2.643212,-1.608912,-1.110915,-6.780414,7.12518,1286.75,81,16.470588235294116,26,5.86,,"https://telemetry.vin.li/api/v1/messages/623c2570-c9c7-4d8b-8ce1-2ef3dad39a9d?deviceId=e2e3bdf7-e083-4899-9af1-73df8daad210",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,16.470588235294116,,,,1,7.0588235294117645,,,
"8b5242e0-72d3-4c2e-a40f-9047311a9bf2","2017-11-22T03:50:24.918Z",,,,9.308704,-0.421382,-2.719827,-1.225837,-5.401346,8.46594,1504.75,,16.470588235294116,25,6.84,,"https://telemetry.vin.li/api/v1/messages/8b5242e0-72d3-4c2e-a40f-9047311a9bf2?deviceId=e2e3bdf7-e083-4899-9af1-73df8daad210",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.156862745098039,
"fac4af9a-1164-433d-81d6-38753f6a17ca","2017-11-22T03:50:21.826Z",,,,10.113159,1.800449,-1.838756,-1.991986,-7.048566,6.742106,1554,96,16.470588235294116,25,6.95,889,"https://telemetry.vin.li/api/v1/messages/fac4af9a-1164-433d-81d6-38753f6a17ca?deviceId=e2e3bdf7-e083-4899-9af1-73df8daad210",,11491,8.25,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.105,,888
"02da37df-ea97-41dc-9068-eddd9db4e30e","2017-11-22T03:50:18.759Z",,,,9.730085,2.37506,-1.953679,-0.766148,-6.512262,2.068601,1682,103,24.705882352941178,52,45.08,,"https://telemetry.vin.li/api/v1/messages/02da37df-ea97-41dc-9068-eddd9db4e30e?deviceId=e2e3bdf7-e083-4899-9af1-73df8daad210",204,,,,0,57.254901960784316,,,0,8090,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"6521da40-b444-4de5-9aa8-1ad7e80429ad","2017-11-22T03:50:14.323Z",,,,10.611156,2.451675,-2.796442,-1.072608,-6.473954,6.588877,1729.75,110,16.862745098039216,25,8.19,,"https://telemetry.vin.li/api/v1/messages/6521da40-b444-4de5-9aa8-1ad7e80429ad?deviceId=e2e3bdf7-e083-4899-9af1-73df8daad210",,,,,,,"JOBD and OBD II",174,,,"Bank 1 Sensor 1","Bank 1 Sensor 2","Bank 2 Sensor 1","Bank 2 Sensor 2",0.15,3.125,0.57,99.21875,0.75,-5.46875,0.675,99.21875,,39.6078431372549,,,,,,,,,,,,,,,,,,,,
"aa300ed0-0296-418b-86a0-e5b04a8c894b","2017-11-22T03:50:11.065Z",,,,11.645456,0.306459,-3.179516,-1.915371,-7.853021,6.780414,1887.75,116,80.3921568627451,92,38.84,,"https://telemetry.vin.li/api/v1/messages/aa300ed0-0296-418b-86a0-e5b04a8c894b?deviceId=e2e3bdf7-e083-4899-9af1-73df8daad210",,,,,,,,,,,,,,,,,,,,,,,15,,88,3.125,-2.34375,-5.46875,-0.78125,405,41.5,"Closed loop, using oxygen sensor feedback to determine fuel mix","Closed loop, using oxygen sensor feedback to determine fuel mix",,,,,,,,,,,
"1f79f9c9-d3cb-47fa-b94c-20c32f097549","2017-11-22T03:50:08.053Z",,,,,,,,,,1856.5,,,,,,"https://telemetry.vin.li/api/v1/messages/1f79f9c9-d3cb-47fa-b94c-20c32f097549?deviceId=e2e3bdf7-e083-4899-9af1-73df8daad210",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"905785a3-2efe-47ce-8359-5e00b0667f70","2017-11-22T03:49:59.926Z",,,,,,,,,,1864.25,,,,,,"https://telemetry.vin.li/api/v1/messages/905785a3-2efe-47ce-8359-5e00b0667f70?deviceId=e2e3bdf7-e083-4899-9af1-73df8daad210",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"7dd4ecf2-ab2c-4cb5-9765-cbfc535c81f7","2017-11-22T03:49:42.123Z",,,,9.270396,1.18753,-3.179516,-1.800449,-6.857029,5.746113,,,,,,,"https://telemetry.vin.li/api/v1/messages/7dd4ecf2-ab2c-4cb5-9765-cbfc535c81f7?deviceId=e2e3bdf7-e083-4899-9af1-73df8daad210",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"c9944697-dc7c-4521-bd61-a68781aee67c","2017-11-22T03:49:20.889Z","Point",-96.791184,32.781028,8.46594,-0.344767,-4.75012,-0.536304,-4.826735,8.351018,0,0,0,99,0,,"https://telemetry.vin.li/api/v1/messages/c9944697-dc7c-4521-bd61-a68781aee67c?deviceId=e2e3bdf7-e083-4899-9af1-73df8daad210",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"not available",,,,,,,,,,
"0c72bc5d-10e0-4345-b51d-0852140dfbd5","2017-11-22T03:49:17.824Z","Point",-96.791184,32.781029,8.504248,-0.421382,-4.711813,-0.536304,-4.865043,8.312711,0,0,0,99,0,,"https://telemetry.vin.li/api/v1/messages/0c72bc5d-10e0-4345-b51d-0852140dfbd5?deviceId=e2e3bdf7-e083-4899-9af1-73df8daad210",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.372549019607842,19.215686274509803,9.411764705882353,14.509803921568627,,,,,
